,especie,chroma_stft,chroma_cqt,chroma_cens,spectral_centroid,spectral_bandwidth,spectral_rolloff,mfcc,melspectrogram,onset_detect,rmse,zero_crossing_rate,freqmin,freqmax,duration
717,11_Hypocnemoides_melanopogon,0.3181925334139337,0.4962737882496296,0.2663286476132887,4657.284796589211,3463.411324225937,6691.7395884596435,-15.664998290712276,0.09938109908667404,115.87878787878788,0.03350982442498207,0.15540031373031496,1958.04187,6545.45459,2.9402399999999957
718,11_Hypocnemoides_melanopogon,0.29736608550176463,0.5345048644482647,0.27123971949210035,4735.525526556664,3425.022268079557,6314.1395970394715,-15.511019328583524,0.047653907482371416,119.03030303030305,0.025525562465190887,0.1687354372258772,2181.818359,6209.790039,2.6402159999999952
719,11_Hypocnemoides_melanopogon,0.2850169098700253,0.5247828441816532,0.27113291349416674,4716.3986293867665,3584.368537520475,6999.046566611842,-14.814827663273153,0.037178478395158525,109.46428571428572,0.021164866164326668,0.15724797834429824,1734.265625,6097.902344,2.6402160000000023
720,11_Hypocnemoides_melanopogon,0.3409848701460069,0.5899604548932036,0.2798744306002741,4412.431621856931,3466.302976920552,5890.538072799888,-11.849690824758966,0.0735894396428106,115.88888888888887,0.025434331968426704,0.14840903517376686,2013.986084,5930.069824,2.5802109999999985
721,11_Hypocnemoides_melanopogon,0.3104478326830521,0.5412370342109092,0.2734833052574816,4410.221977487891,3474.928022981599,6293.728770380435,-13.623695352904587,0.04034874120505351,101.16,0.022541943937540054,0.1442151645531401,1902.0979,5818.182129,2.400196000000001
722,11_Hypocnemoides_melanopogon,0.3003582152649456,0.5584538929074735,0.27615152147583577,4839.6770470950705,3657.1102073432726,6896.384910300926,-15.21034595355677,0.016796530642021232,130.61111111111111,0.01546727493405342,0.1695360725308642,1790.2097170000004,5930.069824,2.8202310000000064
723,11_Hypocnemoides_melanopogon,0.29263097983090763,0.527019953141322,0.270235566377631,4507.271064264333,3331.4594496472755,6194.944497204702,-15.075753895939275,0.05135895706512696,107.4074074074074,0.02557072415947914,0.1569465847190367,1902.0979,5594.4057619999985,2.520206999999999
724,11_Hypocnemoides_melanopogon,0.31558609299287743,0.4508522533851791,0.2458927133325372,3817.071821439461,3689.3599714415495,6047.2412109375,-14.587956903085706,0.01575382357850946,9.666666666666666,0.012773154303431513,0.105224609375,1118.8811039999996,6153.846191,0.3463009999999995
725,11_Hypocnemoides_melanopogon,0.3223287120363169,0.4866451557810506,0.2527686708353701,4015.825780692188,3993.5871297870913,6835.25390625,-14.662850056874163,0.01381487604607498,16.333333333333332,0.0118057606741786,0.10344587053571427,727.272766,6153.846191,0.3976050000000004
726,11_Hypocnemoides_melanopogon,0.2613507985911169,0.4907131358321664,0.24698502205782025,3795.0942378100026,3622.268108439759,5936.19743795956,-13.54480014692392,0.018550475642572388,13.333333333333336,0.013361640274524687,0.1059713924632353,1062.937012,6153.846191,0.38477900000000176
727,11_Hypocnemoides_melanopogon,0.2492540922989037,0.44594337130385375,0.24298705452777786,4002.7270497520544,3952.945889622186,6675.29296875,-15.400583856063273,0.017371129958412092,12.5,0.012904047034680843,0.10431892641129033,1398.60144,5706.293457,0.3591270000000009
728,11_Hypocnemoides_melanopogon,0.2866195056582003,0.4388763801455354,0.2432108605829081,3863.353233600251,3724.8913653854884,5801.66015625,-15.545128035178713,0.015556054942056903,10.333333333333334,0.01265121903270483,0.10918317522321427,895.104858,5426.573242,0.3206489999999995
729,11_Hypocnemoides_melanopogon,0.43933601846662657,0.5984686418894981,0.27286401155521434,4456.880553321757,3988.54010471961,6915.324850643383,-16.39713897829581,0.0019406328552609227,14.2,0.0049460637383162975,0.1410845588235294,1062.937012,5594.4057619999985,0.3847800000000028
730,11_Hypocnemoides_melanopogon,0.27388727186700224,0.4467815587155766,0.2386944618488901,3802.542890644599,3778.586731895819,6223.095703125,-14.873145506212234,0.015187653447380687,14.333333333333336,0.012003031559288502,0.10680042613636363,1062.937012,5986.013672,0.3719540000000024
731,11_Hypocnemoides_melanopogon,0.3176488453966396,0.449952022301032,0.2406682883160028,3815.978353417494,3692.420099847858,5825.50048828125,-15.468857354359622,0.0240630393085226,8.666666666666666,0.01483858097344637,0.10927036830357142,727.272766,5986.013672,0.3206500000000005
732,11_Hypocnemoides_melanopogon,0.2809214756861728,0.3878065274397728,0.2322509590073221,3809.3701423503057,3526.5547241602217,5385.693359375,-17.24735600836754,0.025176229684171127,11.0,0.016282496973872185,0.11134620949074074,1286.713257,6041.958008,0.3078240000000001
733,11_Hypocnemoides_melanopogon,0.3677879925090627,0.5747947862512203,0.26374709539825875,4405.800763838799,3944.567656640322,7517.779541015625,-12.703192859400954,0.020844092639838704,20.75,0.014157332479953766,0.123291015625,1118.8811039999996,5034.964844,0.4537889999999996
734,11_Hypocnemoides_melanopogon,0.4071937967534032,0.6132973531156622,0.27449357800970337,4286.759503672302,3752.2145157443792,6768.465482271635,-12.40387848619564,0.021798718944298686,24.285714285714285,0.015227220021188259,0.12956355168269232,895.104858,5090.90918,0.5934169999999988
